session_id,RaceEthCategory,WhiteCondition,TooFast,WhiteBlackBIATGood,WhiteBlackBIATBad,WhiteAsianBIATGood,WhiteAsianBIATBad,WhiteHispanicBIATGood,WhiteHispanicBIATBad,AsianNeg,AsianPos,BlackNeg,BlackPos,HispNeg,HispPos,WhiteNeg,WhitePos,AsianCulturalWarmth,BlackCulturalWarmth,HispCulturalWarmth,WhiteCulturalWarmth,WhiteAsianCultPref,WhiteBlackCultPref,WhiteHispCultPref,WhiteAsianExp,WhiteBlackExp,WhiteHispExp,Age,Citizenship,Residence,Ethnicity,Race,Gender,CultPrfWhite,PrefWhitePos,PrefWhiteNeg
7233379,Asian, ,0, , ,-.249371334497624,-.619990333265946, , ,2,4, , , , ,2,2,2, , ,5,2, , ,-1, , ,26,us,us,2,East Asian,f,2,-2,0
7233391,Asian, ,0, , ,-.252229943179622,.5121572872951, , ,3,3, , , , ,2,3,3, , ,4,3, , ,0, , ,20,us,sm,2,East Asian,f,3,0,1
7233401,White,Asian,0, , ,-1.00538768603418,.355597188723203, , ,1,5, , , , ,4,3,6, , ,7,3, , ,0, , ,19,us,sm,2,White,f,3,-2,-3
7233444,Asian, ,0, , ,-.559091596449061,.888312852783963, , ,3,3, , , , ,3,3,6, , ,6,2, , ,1, , ,81,us,us,2,East Asian,f,2,0,0
7233467,White,Asian,0, , ,-.0216622415741322,.218425648543887, , ,2,2, , , , ,3,2,5, , ,6,1, , ,0, , ,26,us,us,2,White,m,1,0,-1
7233513,White,Black,0,-.273127595197926,.682403728884216, , , , , , ,2,3, , ,2,3, ,4, ,4, ,1, , ,1, ,29,us,us,2,White,f,1,0,0
7233515,White, , , , , , , , , , , , , , , , , , , , , , , , , , ,28,us,us,2,White,f, , , 
7233551,Hispanic, , , , , , , , , , , , , , , , , , , , , , , , , , ,39,us,us,1,White,m, , , 
7233554,White,Hispanic,0, , , , ,.551631975504962,.926529567710989, , , , ,2,4,2,4, , , ,7, , , , , , ,39,us,sm,.,White,f, ,0,0
7233573,White,Black,0,.165113263625677,.428119871359626, , , , , , ,1,3, , ,1,3, ,3, ,3, ,2, , ,0, ,40,us,sm,2,White,m,2,0,0
7233626,White,Black,.0546875,.48130952679163,.220422125987625, , , , , , ,2,3, , ,1,3, ,5, ,6, ,1, , ,1, ,22,us,us,2,White,f,1,0,1
7233650,White,Asian,.0390625, , ,.301894994448232,.43981424518973, , ,2,4, , , , ,1,4,5, , ,5,0, , ,1, , ,43,us,sm,2,White,f,0,0,1
7233675,White,Asian,0, , ,.365512457309162,.633230677952265, , ,3,4, , , , ,2,4,6, , ,7,2, , ,2, , ,20,us,us,2,White,m,2,0,1
7233756,White,Asian,0, , ,-.257166658581067,-.770489251844437, , ,2,4, , , , ,2,4,4, , ,6,1, , ,1, , ,32,us,sm,2,White,f,1,0,0
7233797,Hispanic, ,0, , , , ,-.176815366084511,-.167993590456883, , , , ,2,4,3,4, , ,3,4, , ,2, , ,0,19,us,us,1,Other or Unknown,f,2,0,-1
7233838,White,Black,0,-.31947269601964,-.0806510448636619, , , , , , ,1,3, , ,1,3, ,3, ,6, ,2, , ,0, ,48,us,us,2,White,f,2,0,0
7233850,White,Hispanic,.0546875, , , , ,.424439771279812,.414869161653565, , , , ,1,3,1,2, , ,2,6, , ,2, , ,1,18,us,us,2,White,f,2,-1,0
7233887,White,Hispanic,0, , , , ,.355058332241985,.100146173242964, , , , ,2,2,3,3, , ,6,7, , ,1, , ,1,22,us,us,2,White,m,1,1,-1
7233924,Black, ,0,-.282177229327,.189196373389455, , , , , , ,4,5, , ,2,3, ,1, ,7, ,3, , ,-3, ,35,us,us,2,Black or African American,f,3,-2,2
7234019,White,Asian,.0234375, , ,.451870782810309,.96722162245143, , ,2,3, , , , ,5,3,2, , ,6,2, , ,0, , ,22,us,us,2,White,f,2,0,-3
7234020,Black, ,0,.376213212169561,-.319683851325682, , , , , , ,1,5, , ,1,4, ,2, ,7, ,3, , ,0, ,20,us,sm,2,Black or African American,f,3,-1,0
7234043,White,Asian,0, , ,1.26585865315148,.346628449547026, , ,1,4, , , , ,1,5,6, , ,5,3, , ,3, , ,29,us,us,2,White,m,3,1,0
7234089,Black, ,0,.448610076601129,-.700782998706492, , , , , , ,1,5, , ,1,5, ,2, ,7, ,2, , ,0, ,27,us,us,2,Black or African American,m,2,0,0
7234140,Black, ,0,-.037631460483682,-.640013012323261, , , , , , ,1,5, , ,3,2, ,1, ,7, ,3, , ,-1, ,36,us,us,2,Black or African American,f,3,-3,-2
7234146,White,Asian,0, , ,.274757775353514,-.108997445260783, , ,1,2, , , , ,2,2,4, , ,3,1, , ,0, , ,61,us,us,3,White,f,1,0,-1
7234274,White,Hispanic,0, , , , ,.472425365299652,-.384857883996297, , , , ,2,2,2,4, , ,2,3, , ,2, , ,3,49,us,us,2,White,m,2,2,0
7234282,Black, ,0,-.639520862043709,-.41503732160838, , , , , , ,1,5, , ,1,5, ,2, ,6, ,2, , ,0, ,40,us,us,2,Black or African American,f,2,0,0
7234284,White,Hispanic,.0078125, , , , ,.701445583937339,.798250792073894, , , , , , , , , , , , , , , , , , ,45,us,us,3,White,f, , , 
7234291,White,Black,0,-.0653362145899646,.21668028115235, , , , , , ,1,1, , ,1,1, ,2, ,6, ,3, , ,1, ,36,us,sm,2,White,m,3,0,0
7234317,White,Asian,.0078125, , ,1.01299545141086,.791711802738329, , ,2,2, , , , ,1,4,3, , ,7,-2, , ,1, , ,19,us,sm,2,White,m,-2,2,1
7234431,White,Asian,0, , ,-.815181193914156,.39250102552167, , ,2,4, , , , ,2,4,6, , ,7,3, , ,0, , ,32,us,us,2,White,f,3,0,0
7234443,White,Asian,0, , ,-.178825762128424,-.265976431326382, , ,1,4, , , , ,1,4,5, , ,5,0, , ,-2, , ,18,us,sm,2,White,m,0,0,0
