session_id,Ethnicity,Race,Gender,Age,TooFast,BabyAdultBIATGood,BabyAdultBIATBad,BabyAdultExp
9379340,2,6,f,18,0,.267215877174866,-.406701000015257,0
9379349,2,6,m,21,.0859375,.45704726238671,.297691165867386,2
9379361,2,6,m,20,0,.488466067273339,.709421103459939,-2
9379394,3,6,m,17,0, ,.351051904419802, 
9379410,2,6,f,18,0,.988694102964236,-.0276582664494718,0
9379416,2,3,f,20,0,.616745567381176,-.365551660006819,0
9379422,2,6,f,18,0,.385649917519533,.121621492694641,0
9379428,3,9,f,24,0, ,-.13966201394101,1
9379468,1,6,m,20,0,.802925107740668,-.270910239712716,-1
9379478,2,6,f,48,.03125,.51085339172625,.234326425369066,-3
9379506,1,8,m,51,0,.584310115554414,.461091899852229,-3
9379516,2,6,m,53,0,-.327901572089316, , 
9379520,2,6,m,54,0,-.0562982869926609,.570310455420976,-3
9379528,2,6,f,18,.0625,.446749961772693,.420058426560171,-1
9379543,2,6,f,64,0,1.02993032481134,.480370832838757,2
9379549,.,.,f,31,0,.478952970566623,-.270317808520421,2
9379658,2,5,m,28,0,.252594252589082,.522266561541033,-2
9379681,2,6,m,20,0,.0758223627070896,.252786203013386,0
9379715,.,6,m,18,.6875,.117096620879019,-.353553390593274,-1
9379743,2,6,m,28,0,.0137663494703516,.102972511308336,1
9379746,2,6,f,30,.015625,.431235398369902,.620100795556769,0
9379760,2,6,m,42,0,.840045771388714,.483042872389276,0
9379761,2,6,m,19,.03125,.698823416631554,.0340435822563804,1
9379769,2,6,f,19,0,.479206435064203,.183908695301753,1
9379796,2,6,f,23,0,.150303911483089,.264437926668943,0
9379817,2,8,f,52,0,.450811945011628,.0946462471161592,0
9379869,2,6,f,38,0,.909118552126353,.665449675989875,1
9379880,2,6,f,25,.1328125,.603019703913016,.784884491747801,0
9379896,2,6,m,41,0,.381847560973575,.144467708963879,2
9379909,2,6,m,67,0,.380531001808989,.574665298145627,-3
9379914,2,6,f,42,0,-.114331083057361,.316261924807013,0
9379943,2,6,f,87, , , , 
9379951,2,5,m,42,.734375, , , 
9379952,2,6,m,19,.984375, , ,0
9379964,2,6,f,27,0,.642349556507683,.22428295489904,3
9379967,2,5,f,44,0,1.01766564453453,.601524412209249,3
9379999,2,5,m,43,.0078125,1.03746772594564,-.276699486952841,1
9380005,2,8,f,16,.0078125,.984825799001507,.692248031607403,0
9380014,3,9,f,48,.1015625,.923573224727571,-.507306580443684,0
9380025,.,8,.,27,0,-.258956622450073,-.141611078145909,-1
9380042,3,6,m,44,0,.562404590800973,.206631258226316,1
9380061,2,5,f,29,0,.390349356544405,-.59664240073509,2
9380067,2,6,m,51,0,.339438395711751,.740337563275279,0
9380082,3,6,m,19,0,.667783788026884, , 
9380104,2,6,f,21,0,.333700467033515,.989259370987774,0
9380106,2,6,f,58,0,.174256982409115,.685375093304384,2
9380115,2,6,f,21,0,.934726343380131,.466605095795583,1
9380118,3,2,f,29,.0234375,.398896336534854,.26504383593157,1
9380134,3,6,m,47,.1875, ,.997712337330583, 
9380140,2,6,m,51,0, ,.3765731870329, 
9380143,2,9,m,50,0,.514106995090843,.769306469428295, 
9380170,2,6,m,25,0,.32125560286971,.0684886941690511,0
9380205,1,6,f,20,.0546875,.366228851115424,-.432086826680714,1
9380211,2,7,m,20,.984375, , , 
9380316,2,6,f,20,0,.711002144477262,.737139157740074,0
9380375,2,6,m,39,0,.461805012608721,.145651742645269,1
9380394,2,6,f,21,0, ,-.246178944063419, 
9380405,1,8,f,30,0,.81384438030868,.0442108743653577,3
9380412,2,6,f,24,0,.388832842341661,.579812711470202,0
9380416,3,9,m,20,.90625,-.459200727184298, , 
9380423,2,5,f,20,0,-.533773634633242,.388276489045511,2
9380453,2,6,m,18,0,.580338931303524,.0677302124562499,1
9380455,3,9,f,45,0,.662683857240407,-.0290525876488841,-2
9380469,1,6,f,21,0,.699942265693198,.0691656048724619,0
9380480,2,5,f,19,0,.818738183406247,-.159609410477185,2
9380504,.,6,f,18,0,.765667479070666,.132959429483514,2
9380653,2,6,m,31,.015625,-.552001424041531,.309767988133224,0
