session_id,Ethnicity,Race,Gender,Age,TooFast,CelebrityBIATGood,CelebrityBIATBad,CelebrityExp
9394769,1,8,f,25,0,.165545394972476,.04086310292809,2
9394800,2,5,m,40,0,-.426742419198124,.50558661864389,0
9394848,2,6,m,43,0,.829251251895316,-.433627653737071,1
9394933,2,6,f,64,0,1.09093938681034,.952933745765529,0
9394944,2,5,f,19,0,.585506585982156,.461433166839612,1
9395048,2,6,f,17,0,.482218939473593,1.21765235397961,0
9395060,2,6,f,70,0,-.0338650412628017,.0528380294387567,0
9395081,2,6,f,31,0,.398068842161336,-.468318224410997,-2
9395086,2,6,f,47,0,.437079104126275,.00245678348099632,0
9395124,2,6,f,50,0,.516924899270822,.169762254445691,1
9395327,2,6,f,18,0, ,-.425272810293119, 
9395332,2,7,f,42,0,.832267500083017,-.16024982640127,1
9395468,2,6,f,40,0,.587462585182412,-.0815211935863608,0
9395541,1,8,m,46,0,.591188595461458,.312533821692791,0
9395551,1,1,m,23,0,.81426662128056,-.388170811778002,-2
9395607,1,6,f,48,0,.0274266599686449,-.106794806403847, 
9395625,2,6,f,25,0,-.248531241596171,.0565658556908248,0
9395628,2,6,m,69,0,.536939571445448,-.0106918715795682,0
9395634,2,8,m,21,.1484375,1.28073845512526,1.20766684310937,1
9395711,2,6,f,21,0, ,-.295974788141154, 
9395720,2,2,m,19,0, ,.479304206136248, 
9395739,1,6,f,24,.7578125, ,-.14695909647756,0
9395888,2,6,f,21,0,.46753689245325,.600421139611234,-3
9395942,2,6,f,35,0,-.357415331071374,-.200712901071476,0
9395994,2,5,f,26,0,1.1854478877089,.211784233845133,2
9396001,2,6,f,36,.0234375,.366926910308176,-.502155752580859,-1
9396100,.,6,f,65,0,1.33619741890066,-.240989951314481,0
9396109,2,6,f,19,.635416666666667, , , 
9396149,2,6,f,37,.0078125,.10864235082469,.550536150752877,1
9396154,2,6,m,29,0,-.0797417216124707,.40925925611843,-3
9396200,.,6,f,64,0, ,.157850692933948, 
9396290,1,9,m,19,.0078125,.863269267756219,-.560347822187623,1
9396341,2,6,f,36,0, ,-.181196119912443, 
9396355,.,.,m,46,0,-.797799780017789,-.516293482137799,-2
9396362,2,6,f,47,0,-.0127052874165136,-.673753413684869,-1
