session_id,ErrorPct,TooFast,Condition,ConditionNum,Age,Ethnicity,Gender,Race,WhiteAsianBIAT,WhiteHispBIAT,WhiteBlackBIAT,AsianHispBIAT,AsianBlackBIAT,HispBlackBIAT,WhiteImpAgg,HispImpAgg,AsianImpAgg,BlackImpAgg,RaceFocal,WhiteAsianExp,WhiteHispExp,WhiteBlackExp,AsianHispExp,AsianBlackExp,HispBlackExp,WhiteExpAgg,BlackExpAgg,AsianExpAgg,HispExpAgg,CondxImpWB,CondxImpWH,CondxImpWA,WhiteMinorityBIAT,WhiteMinorityExp
2542998,.0208333333333333,0,bad,-1,20,2,1,6,.245395902082879,.725454695453057,-.243523789419317,-.0377323512282661,.781468696991151,.239715341497875,.242442269372207,-.149335667575639,.166113481226669,-.259220083023236,White,0,0,1,0,0,0,.333333333333333,-.333333333333333,0,0,.243523789419317,-.725454695453057,-.245395902082879, , 
2543001,.0416666666666667,0,good,1,20,3,1,6,.324895748929232,.248759987092426,.82040803608615,.0935269415141292,-.242355983163519,-.623741132443949,.464687924035936,-.322009353683502,-.157908263526207,.0152296931737727,White,1,2,1,-1,-2,1,1.33333333333333,-.666666666666667,.666666666666667,-1.33333333333333,.82040803608615,.248759987092426,.324895748929232, , 
2543004,.0572916666666667,0,good,1,20,2,2,6,.877040838203604,-.30906619389656,-.550710292117251,-.0317635657037937,.542128862260196,.461541364849731,.00575478406326431,.267457041483362,-.122225180549067,-.150986644997559,White,0,1,0,0,0,0,.333333333333333,0,0,-.333333333333333,-.550710292117251,-.30906619389656,.877040838203604, , 
2543093,.03125,0,bad,-1,18,2,1,6,.27569068058523,-.49818455704622,-.0188887689089166,-.651109151875605,-.143205672679074,-.446629732007066,-.080460881789969,.234221325638253,-.356668501713303,.202908057865019,White,2,2,2,1,-2,0,2,-1.33333333333333,-.333333333333333,-.333333333333333,.0188887689089166,.49818455704622,-.27569068058523, , 
2543173,.0989583333333333,0,good,1,19,2,1,6,.351885766971356,.238481654248368,-.418846580345398,-.216634246497534,-.628519007223741,-1.15828570608499,.0571736136247752,-.393377704611941,-.399013006897544,.73521709788471,White,0,0,0,0,0,0,0,0,0,0,-.418846580345398,.238481654248368,.351885766971356, , 
2543174,.125,.0104166666666667,bad,-1,18,2,1,6,.668813541715341,.744979062938444,.513410379675722,.0790805914482068,.495769467083752,-.230522990386952,.642400994776502,-.351527548257868,-.0313211610611274,-.259552285457507,White,0,0,0,0,0,0,0,0,0,0,-.513410379675722,-.744979062938444,-.668813541715341, , 
2543176,.09375,0,good,1,18,2,2,6,.169930266611303,.803710534392353,.778411816379976,.0933645752165338,.453909748044425,.321062053292083,.584017539127878,-.192004352105601,.125781352216552,-.517794539238828,White,0,0,0,0,0,0,0,0,0,0,.778411816379976,.803710534392353,.169930266611303, , 
2543235,.125,0,bad,-1,19,2,1,6,.468807685886644,.438363953853527,1.31139343755185,-.000792784441944008,-.609695622120157,-.238244999031468,.739521692430674,-.225272056147683,-.359765364149582,-.154484272133409,White,3,3,0,-1,2,1,2,1,-1.33333333333333,-1.66666666666667,-1.31139343755185,-.438363953853527,-.468807685886644, , 
2543237,.03125,0,bad,-1,18,2,1,6,.252636579465455,.194029363159221,1.06469355186081,.616559877473572,-.46834780166918,-.120033615390509,.503786498161828,-.310207618674434,-.0348081678870208,-.158770711600374,White,0,1,0,0,0,0,.333333333333333,0,0,-.333333333333333,-1.06469355186081,-.194029363159221,-.252636579465455, , 
2543238,.125,0,bad,-1,19,2,1,6*7,.23038073218008,.017432065438972,.0537734652116341,.172574918828776,-.145225711911829,.616594420381245,.100528754276895,.142195812037832,-.0676771750877112,-.175047391227017, ,0,2,1,2,1,0,1,-.666666666666667,1,-1.33333333333333,-.0537734652116341,-.017432065438972,-.23038073218008, , 
2543321,.0989583333333333,.0104166666666667,good,1,18,1,1,6,-.0919013284828782,.358734141507764,-.00406526550355883,-.701219393175743,.425788244928645,-.0314102363461461,.0875891825071091,.103691671773944,-.0611766065880733,-.13010424769298,Hisp,0,0,0,0,0,0,0,0,0,0,-.00406526550355883,.358734141507764,-.0919013284828782,.358734141507764,0
2543323,.0208333333333333,0,good,1,19,2,2,6,.780344013961965,.55268933564889,1.28416332101967,-.38620362511662,.487520070310279,.261739483694352,.872398890210176,.031751257720694,-.226342522922769,-.677807625008101,White,1,1,1,0,0,0,1,-.333333333333333,-.333333333333333,-.333333333333333,1.28416332101967,.55268933564889,.780344013961965, , 
2543382,.151041666666667,.0104166666666667,bad,-1,20,2,1,6,.0642258770888085,.077861771049679,.0171295029259117,.245215516407256,.356048889343543,.774750558710543,.0530723836881331,.150557757084536,.17901284288733,-.382642983659999,White,1,1,1,0,0,0,1,-.333333333333333,-.333333333333333,-.333333333333333,-.0171295029259117,-.077861771049679,-.0642258770888085, , 
2543383,.0260416666666667,.00520833333333333,good,1,19,2,1,6,.389580385673835,.759791248194849,.761537269956477,-.260313212774658,-.304995492536737,-.538252544372205,.636969634608387,-.345910193264132,-.318296363661744,.0272369223174886,White,0,0,0,0,0,0,0,0,0,0,.761537269956477,.759791248194849,.389580385673835, , 
2543384,.171875,.00520833333333333,good,1,18,1,1,6,.298915107877945,.388155076944126,.466436860266664,.684861466613798,.0647171750043306,.51590327364,.384502348362912,-.185704423305974,.150221177913394,-.349019102970332,Hisp,0,0,0,0,0,0,0,0,0,0,.466436860266664,.388155076944126,.298915107877945,.388155076944126,0
2543450,.09375,0,bad,-1,18,2,1,6,1.05469988963879,.241311541883527,-.035428386009105,.758628428704627,.670766369882851,-.4750756840344,.420194348504403,-.491671884874185,.124898302982897,-.0534207666131152,White,0,0,0,0,0,0,0,0,0,0,.035428386009105,-.241311541883527,-1.05469988963879, , 
